Team:,5438
Match:,5,8
Position,Left,Right
AUTONOMOUS,,
Crossed Line:,No,No
Dropped Block:,No,No
Block Placement:,N/A,N/A
Blocks Picked Up:,2,2
Alliance Switch Blocks:,0,0
Scale Blocks:,0,0
Opponent Switch Blocks:,0,0
Blocks in Exchange:,0,0
TELEOP,,
Blocks Picked Up:,2,2
Alliance Switch Blocks:,1,0
Scale Blocks:,0,0
Opponent Switch Blocks:,1,0
Blocks in Exchange:,0,2
Levitate:,2,0
Force:,3,0
Boost:,3,0
ENDGAME,,
Climb:,Did Not Climb,Did Not Climb
Number Climbing on This:,0,0
Error:,No,No
Defensive:,No,No
Comments:,0,0
